from,to
gene_1,gene_2
gene_1,gene_3
gene_1,gene_4
gene_1,gene_5
gene_1,gene_6
gene_1,gene_7
gene_1,gene_8
gene_1,gene_9
gene_1,gene_10
gene_1,gene_11
gene_1,gene_12
gene_1,gene_13
gene_1,gene_14
gene_1,gene_15
gene_1,gene_16
gene_1,gene_17
gene_1,gene_18
gene_1,gene_19
gene_1,gene_20
gene_1,gene_21
gene_1,gene_22
gene_1,gene_23
gene_1,gene_24
gene_1,gene_25
gene_1,gene_26
gene_1,gene_27
gene_1,gene_28
gene_1,gene_29
gene_1,gene_30
gene_1,gene_31
gene_1,gene_32
gene_1,gene_33
gene_1,gene_34
gene_1,gene_35
gene_1,gene_36
gene_1,gene_37
gene_1,gene_38
gene_1,gene_39
gene_1,gene_40
gene_1,gene_41
gene_1,gene_42
gene_1,gene_43
gene_1,gene_44
gene_1,gene_45
gene_1,gene_46
gene_1,gene_47
gene_1,gene_48
gene_1,gene_49
gene_1,gene_50
gene_1,gene_51
gene_1,gene_52
gene_1,gene_53
gene_1,gene_54
gene_1,gene_55
gene_1,gene_56
gene_1,gene_57
gene_1,gene_58
gene_1,gene_59
gene_1,gene_60
gene_1,gene_61
gene_1,gene_62
gene_1,gene_63
gene_1,gene_64
gene_1,gene_65
gene_1,gene_66
gene_1,gene_67
gene_1,gene_68
gene_1,gene_69
gene_1,gene_70
gene_1,gene_71
gene_1,gene_72
gene_1,gene_73
gene_1,gene_74
gene_1,gene_75
gene_1,gene_76
gene_1,gene_77
gene_1,gene_78
gene_1,gene_79
gene_1,gene_80
gene_1,gene_81
gene_1,gene_82
gene_1,gene_83
gene_1,gene_84
gene_1,gene_85
gene_1,gene_86
gene_1,gene_87
gene_1,gene_88
gene_1,gene_89
gene_1,gene_90
gene_1,gene_91
gene_1,gene_92
gene_1,gene_93
gene_1,gene_94
gene_1,gene_95
gene_1,gene_96
gene_1,gene_97
gene_1,gene_98
gene_1,gene_99
gene_1,gene_100
gene_1,gene_101
gene_1,gene_102
gene_1,gene_103
gene_1,gene_104
gene_1,gene_105
gene_1,gene_106
gene_1,gene_107
gene_1,gene_108
gene_1,gene_109
gene_1,gene_110
gene_1,gene_111
gene_1,gene_112
gene_1,gene_113
gene_1,gene_114
gene_1,gene_115
gene_1,gene_116
gene_1,gene_117
gene_1,gene_118
gene_1,gene_119
gene_1,gene_120
gene_1,gene_121
gene_1,gene_122
gene_1,gene_123
gene_1,gene_124
gene_1,gene_125
gene_1,gene_126
gene_1,gene_127
gene_1,gene_128
gene_1,gene_129
gene_1,gene_130
gene_1,gene_131
gene_1,gene_132
gene_1,gene_133
gene_1,gene_134
gene_1,gene_135
gene_1,gene_136
gene_1,gene_137
gene_1,gene_138
gene_1,gene_139
gene_1,gene_140
gene_1,gene_141
gene_1,gene_142
gene_1,gene_143
gene_1,gene_144
gene_1,gene_145
gene_1,gene_146
gene_1,gene_147
gene_1,gene_148
gene_1,gene_149
gene_1,gene_150
gene_1,gene_151
gene_1,gene_152
gene_1,gene_153
gene_1,gene_154
gene_1,gene_155
gene_1,gene_156
gene_1,gene_157
gene_1,gene_158
gene_1,gene_159
gene_1,gene_160
gene_1,gene_161
gene_1,gene_162
gene_1,gene_163
gene_1,gene_164
gene_1,gene_165
gene_1,gene_166
gene_1,gene_167
gene_1,gene_168
gene_1,gene_169
gene_1,gene_170
gene_1,gene_171
gene_1,gene_172
gene_1,gene_173
gene_1,gene_174
gene_1,gene_175
gene_1,gene_176
gene_1,gene_177
gene_1,gene_178
gene_1,gene_179
gene_1,gene_180
gene_1,gene_181
gene_1,gene_182
gene_1,gene_183
gene_1,gene_184
gene_1,gene_185
gene_1,gene_186
gene_1,gene_187
gene_1,gene_188
gene_1,gene_189
gene_1,gene_190
gene_1,gene_191
gene_1,gene_192
gene_1,gene_193
gene_1,gene_194
gene_1,gene_195
gene_1,gene_196
gene_1,gene_197
gene_1,gene_198
gene_1,gene_199
gene_1,gene_200
gene_2,gene_3
gene_2,gene_4
gene_2,gene_5
gene_2,gene_6
gene_2,gene_7
gene_2,gene_8
gene_2,gene_9
gene_2,gene_10
gene_2,gene_11
gene_2,gene_12
gene_2,gene_13
gene_2,gene_14
gene_2,gene_15
gene_2,gene_16
gene_2,gene_17
gene_2,gene_18
gene_2,gene_19
gene_2,gene_20
gene_2,gene_21
gene_2,gene_22
gene_2,gene_23
gene_2,gene_24
gene_2,gene_25
gene_2,gene_26
gene_2,gene_27
gene_2,gene_28
gene_2,gene_29
gene_2,gene_30
gene_2,gene_31
gene_2,gene_32
gene_2,gene_33
gene_2,gene_34
gene_2,gene_35
gene_2,gene_36
gene_2,gene_37
gene_2,gene_38
gene_2,gene_39
gene_2,gene_40
gene_2,gene_41
gene_2,gene_42
