Gene	p.value
XKR4	1.4068935896697e-08
ATP6V1H	0.0023272282023654
ST18	0.00226977444472394
SNTG1	6.01545499629439e-05
PREX2	0.408583852022742
NCOA2	0.721579631816676
KCNB2	2.03102629538626e-05
STAU2	0.00140068381005388
PKHD1	0.00103290102542788
KCNQ5	0.00608887049893451
RIMS1	0.214986232556176
ADGRB3	4.78969067630295e-13
KHDRBS2	5.79596715214182e-06
PRIM2	0.0803185357971162
TSGA10	0.0177195930342305
AFF3	0.149215237872257
NPAS2	0.877151067609771
GULP1	2.80905450608165e-07
DNAH7	0.000100040595486069
PARD3B	4.61312216945413e-06
PTH2R	9.41874850669421e-07
MAP2	0.0137138189501316
LANCL1	0.00222239002546693
ERBB4	2.9989149049593e-05
GLB1L	4.48040986193729e-09
NYAP2	5.50398179579131e-13
RHBDD1	9.15014346169746e-06
SP110	1.62503371834644e-05
DIS3L2	2.2681945599532e-05
AGAP1	1.26776102661075e-05
COL6A3	4.77402254074491e-05
HDAC4	0.00181149998600417
THAP4	0.388112201877662
CDH19	0.304564809817586
CNTNAP5	3.42440980559061e-27
DPP10	6.37373856782318e-13
GPR39	3.13116267149891e-07
NCKAP5	4.4952979193014e-08
THSD7B	8.87791461392577e-12
SRGAP2	1.8442970330992e-07
PLEKHA6	0.887955411829819
KCNT2	0.350488377079082
HMCN1	0.232187444625309
NMNAT2	0.0031562986791839
ASTN1	0.0148577240147341
PAPPA2	2.16673574127626e-14
TNR	6.95839874752977e-20
RABGAP1L	2.11785441912751e-06
DNM3	4.08406687766395e-06
PBX1	0.0691022055950129
NOS1AP	2.2903885800941e-10
FMN2	0.000134321096023696
RGS7	0.00230456408809187
PLD5	0.000373147232634281
SDCCAG8	0.125709870735404
KIF26B	0.235024979321822
SMYD3	0.276489116408066
ESRRG	0.270880365348363
PTPN14	4.93344275061411e-09
TRAF5	0.0643849190918448
KCNH1	0.0417014933981191
HHAT	0.0110523476347747
SYT14	0.000814107607929904
CAMK1D	0.001794006042536
SEC61A2	0.031787668908538
MALRD1	9.11204741589448e-21
KIAA1217	6.8319911170783e-17
MYO3A	8.23584516983641e-10
MIGA2	0.0292314916187197
STRBP	8.889069051246e-06
DENND1A	8.889069051246e-06
LRP1B	6.48684774940783e-05
ARHGAP15	1.14023553515783e-15
GTDC1	4.72689842705411e-12
GALNT13	7.59251982155266e-18
KCNH7	0.000295551774473195
GALNT3	0.00361930046991852
B3GALT1	0.00364559368219796
CERS6	0.000506989635016043
LRP2	3.27721198781721e-05
UBR3	2.57198140026447e-05
CYBRD1	0.000272905252078134
CHN1	0.00189113649770403
TTN	0.0125967247877049
LRRC4C	6.10379924971608e-09
PRR5L	2.21132814144234e-11
ELP4	0.00286911878039137
LGR4	0.404950247097327
ANO3	0.0390046530483827
RYR3	0.0179625359594168
FMN1	0.546810299068227
DPH6	0.00149185461919568
EIF2AK4	0.822172109770578
KNL1	0.0899737612774021
MAPKBP1	0.167969079142012
SEMA6D	4.08382247142361e-09
ACOXL	0.000149445446294234
ANAPC1	0.0262205229106435
MERTK	5.64140459930324e-06
TMC2	6.13533868156105e-06
PTPRA	4.5691621291107e-06
PLCB1	0.00104232682100447
MACROD2	2.6289279163186e-06
SLC24A3	0.000161341500504289
RALGAPA2	0.0556218211030616
TPX2	0.071948335314973
NOL4L	3.44952456817944e-06
CBFA2T2	7.60799393596044e-09
CNBD2	0.00534333036265454
SRC	0.091031697072529
PPP1R16B	0.0224883312988873
EMILIN3	0.00600046794766419
PTPRT	0.00159253113807851
CCN5	0.802757628662014
CDH4	0.455610928099212
IL7	0.0049723366289244
ZBTB10	0.000885923350711078
RALYL	0.255556207106196
NLGN1	5.94523771377237e-17
SPATA16	5.94523771377237e-17
TNIK	0.0161242726552162
EGFEM1P	0.0147433315317979
MECOM	1.80152057856594e-06
KCNMB2	0.0151027243337397
ZMAT3	0.0647732537843583
NBEA	0.000191487123307816
WWTR1	1.65385543353882e-06
LEKR1	2.00376422264313e-08
VEPH1	3.75011540019429e-08
WDR49	9.81815709275519e-06
FSTL5	9.80442264950765e-20
LRBA	0.141479440238437
ARHGEF11	0.000977577066672055
PI4KB	0.94944216012361
ADAMTSL4	0.0592959106170925
PDE4DIP	0.12090651813953
MAN1A2	0.000119493320738035
KCND3	0.0604906908796557
VAV3	1.00925790954392e-15
NTNG1	9.14570284741086e-16
COL11A1	3.66027483084633e-06
DPYD	2.91885398676936e-13
ABCA4	0.950155226152343
BCAR3	0.000726814514572287
NDST4	0.879002917379577
CAMK2D	0.000621176882923258
ANK2	0.00052795913008391
PPP3CA	1.0262553889438e-10
TSPAN5	0.110013234389922
STPG2	0.000278453127811974
UNC5C	8.40087296213563e-19
BMPR1B	8.33266125923669e-19
COL24A1	0.271694860442467
ADGRL2	0.0566935173598463
ST6GALNAC3	0.170888937340169
SLC44A5	0.125748945041738
NEGR1	0.00350752747548354
TOX	1.47498358332277e-13
RUNX1T1	5.1436268480528e-08
NECAB1	1.7595873793124e-08
NKAIN3	1.78953158381975e-06
KLHL32	9.06234134866118e-08
FUT9	3.24689321119547e-12
LINGO2	2.59563187884997e-06
RNF38	0.000305698098817728
FRMPD1	0.942546965426355
GRIN3A	1.10498684955883e-05
ZNF462	0.0437424363447365
SUSD1	0.220707245194943
PAPPA	0.00722357186615971
ASTN2	0.00680097803235265
KDM4C	0.000433284593611155
PTPRD	0.00262822270118094
CCDC171	0.000297781669285143
BNC2	0.147323273262142
CNTLN	0.565896262580954
ADAMTSL1	0.000202158325960364
FOCAD	0.00942832053104234
NFIA	1.5954854915365e-07
PATJ	5.35815701346518e-07
PDE4B	5.45770346629072e-10
DAB1	1.00274532146773e-07
MROH7	2.54515533676294e-07
GLIS1	2.01464327238785e-09
ELAVL4	2.914323057598e-06
AGBL4	2.914323057598e-06
TRABD2B	0.000270764305916682
UQCRH	0.520404114116169
MAST2	0.00023305474212503
RNF220	5.80976544867661e-05
HIVEP3	0.00345053178913017
ZSCAN20	0.48080227387331
GMEB1	0.122229480907394
MACO1	0.535437599415679
ECE1	0.252140305954838
IGSF21	0.00270456068932124
ARHGEF10L	1.3282365282227e-14
PADI3	3.37157523778656e-07
ZNF616	0.000254755970935557
CASZ1	0.304156095176884
PEX14	0.332056183724924
RERE	4.53440978738774e-13
PRDM16	0.0576087115268407
CDK14	0.0348816691311636
ZNF804B	4.78130884087174e-06
CACNA2D1	2.68847218855226e-07
SEMA3C	2.85919698302922e-07
MAGI2	0.172693419444579
RELN	9.68589922767507e-05
LHFPL3	0.0149131412609876
SRPK2	0.0539313733858735
PRKAG2	3.12474158901458e-05
DPP6	0.00936090319463839
DPYSL5	6.85413000890492e-06
BABAM2	0.0203356061456263
SORCS2	0.225613933311569
LCORL	0.00287920255910847
SLIT2	0.0143622975073148
KCNIP4	0.0113238326212808
RBPJ	0.000478190539736431
PCDH7	4.20138664111488e-10
ARAP2	0.000218551431829673
APBB2	0.0138805920771312
KCTD8	3.3433587978259e-07
GABRB1	3.41594182069905e-32
CORIN	3.71297604895077e-32
FRYL	5.63886958080616e-34
SCFD2	4.71313996720295e-34
FIP1L1	1.05478007396431e-33
LNX1	1.73819494120742e-26
ADGRL3	0.0807659564838513
AMBN	0.636610566978929
ADAMTS3	0.0769214671188498
